arm,operator,eval_index,best_speedup_so_far
agent_int4_gemm,int4_gemm,1,0.0
agent_int4_gemm,int4_gemm,2,0.0
agent_int4_gemm,int4_gemm,3,0.9892
agent_int4_gemm,int4_gemm,4,0.9975
agent_int4_gemm,int4_gemm,5,1.0093
agent_int4_gemm,int4_gemm,6,1.0093
agent_int4_gemm,int4_gemm,7,1.0538
agent_int4_gemm,int4_gemm,8,1.0885
agent_int4_gemm,int4_gemm,9,1.0899
agent_int4_gemm,int4_gemm,10,1.0899
minimal_kb,cross_entropy,1,0.0
minimal_kb,cross_entropy,1,2.1677
minimal_kb,cross_entropy,2,2.1677
minimal_kb,cross_entropy,2,2.1677
minimal_kb,cross_entropy,3,2.1677
minimal_kb,cross_entropy,3,2.1677
minimal_kb,cross_entropy,4,2.1677
minimal_kb,cross_entropy,4,2.1677
minimal_kb,cross_entropy,5,2.1677
minimal_kb,cross_entropy,5,2.1701
minimal_kb,cross_entropy,6,2.1739
minimal_kb,cross_entropy,6,2.1786
minimal_kb,cross_entropy,7,2.1786
minimal_kb,cross_entropy,7,2.1786
minimal_kb,cross_entropy,8,2.1786
minimal_kb,cross_entropy,8,2.1801
minimal_kb,cross_entropy,9,2.1801
minimal_kb,cross_entropy,9,2.1801
minimal_kb,cross_entropy,10,2.1801
minimal_kb,cross_entropy,10,2.1801
minimal_kb,cross_entropy,11,2.1801
minimal_kb,cross_entropy,11,2.1801
minimal_kb,cross_entropy,12,2.1817
minimal_kb,cross_entropy,12,2.1817
minimal_kb,embedding,1,0.998
minimal_kb,embedding,1,0.998
minimal_kb,embedding,2,0.998
minimal_kb,embedding,2,0.998
minimal_kb,embedding,3,1.0008
minimal_kb,embedding,3,1.0008
minimal_kb,embedding,4,1.0008
minimal_kb,embedding,4,1.0008
minimal_kb,embedding,5,1.0008
minimal_kb,embedding,5,1.0008
minimal_kb,embedding,6,1.0008
minimal_kb,embedding,6,1.0008
minimal_kb,embedding,7,1.0008
minimal_kb,embedding,7,1.0008
minimal_kb,embedding,8,1.0008
minimal_kb,embedding,8,1.0008
minimal_kb,embedding,9,1.0008
minimal_kb,embedding,9,1.0008
minimal_kb,embedding,10,1.0008
minimal_kb,embedding,10,1.0008
minimal_kb,embedding,11,1.0008
minimal_kb,embedding,11,1.0008
minimal_kb,embedding,12,1.0008
minimal_kb,embedding,12,1.0008
minimal_kb,fused_linear_cross_entropy,1,0.0
minimal_kb,fused_linear_cross_entropy,2,0.0
minimal_kb,fused_linear_cross_entropy,3,0.0
minimal_kb,fused_linear_cross_entropy,4,0.0
minimal_kb,fused_linear_cross_entropy,5,0.0
minimal_kb,fused_linear_cross_entropy,6,0.0
minimal_kb,fused_linear_cross_entropy,7,0.0
minimal_kb,fused_linear_cross_entropy,8,0.0
minimal_kb,fused_linear_cross_entropy,9,0.0
minimal_kb,fused_linear_cross_entropy,10,0.0
minimal_kb,fused_linear_cross_entropy,11,0.0
minimal_kb,fused_linear_cross_entropy,12,0.0
minimal_kb,geglu,1,1.6792
minimal_kb,geglu,1,1.6792
minimal_kb,geglu,2,1.6841
minimal_kb,geglu,2,1.6841
minimal_kb,geglu,3,1.6841
minimal_kb,geglu,3,1.6841
minimal_kb,geglu,4,1.6841
minimal_kb,geglu,4,1.6841
minimal_kb,geglu,5,1.6841
minimal_kb,geglu,5,1.6841
minimal_kb,geglu,6,1.6841
minimal_kb,geglu,6,1.6841
minimal_kb,geglu,7,1.6841
minimal_kb,geglu,7,1.6841
minimal_kb,geglu,8,1.6841
minimal_kb,geglu,8,1.6841
minimal_kb,geglu,9,1.6865
minimal_kb,geglu,9,1.6865
minimal_kb,geglu,10,1.6865
minimal_kb,geglu,10,1.6865
minimal_kb,geglu,11,1.6865
minimal_kb,geglu,11,1.6865
minimal_kb,geglu,12,1.6865
minimal_kb,geglu,12,1.6886
minimal_kb,int4_gemm,1,0.0
minimal_kb,int4_gemm,2,0.0
minimal_kb,int4_gemm,3,0.0
minimal_kb,int4_gemm,4,0.0
minimal_kb,int4_gemm,5,0.0
minimal_kb,int4_gemm,6,0.0
minimal_kb,int4_gemm,7,0.0
minimal_kb,int4_gemm,8,0.0
minimal_kb,int4_gemm,9,0.0
minimal_kb,int4_gemm,10,0.0
minimal_kb,int4_gemm,11,0.0
minimal_kb,int4_gemm,12,0.0
minimal_kb,kl_div,1,4.4183
minimal_kb,kl_div,1,4.5507
minimal_kb,kl_div,2,4.5507
minimal_kb,kl_div,2,4.5507
minimal_kb,kl_div,3,4.5507
minimal_kb,kl_div,3,4.5606
minimal_kb,kl_div,4,4.5606
minimal_kb,kl_div,4,4.5606
minimal_kb,kl_div,5,4.5606
minimal_kb,kl_div,5,4.5928
minimal_kb,kl_div,6,4.5928
minimal_kb,kl_div,6,4.5928
minimal_kb,kl_div,7,4.5928
minimal_kb,kl_div,7,4.5928
minimal_kb,kl_div,8,4.5928
minimal_kb,kl_div,8,4.5928
minimal_kb,kl_div,9,4.5928
minimal_kb,kl_div,9,4.5928
minimal_kb,kl_div,10,4.5928
minimal_kb,kl_div,10,4.5928
minimal_kb,kl_div,11,4.5928
minimal_kb,kl_div,11,4.5928
minimal_kb,kl_div,12,4.5928
minimal_kb,kl_div,12,4.6089
minimal_kb,layer_norm,1,1.0597
minimal_kb,layer_norm,2,1.0685
minimal_kb,layer_norm,3,1.069
minimal_kb,layer_norm,4,1.069
minimal_kb,layer_norm,5,1.069
minimal_kb,layer_norm,6,1.069
minimal_kb,rms_norm,1,2.3218
minimal_kb,rms_norm,1,2.3218
minimal_kb,rms_norm,2,2.3218
minimal_kb,rms_norm,2,2.3218
minimal_kb,rms_norm,3,2.3218
minimal_kb,rms_norm,3,2.3218
minimal_kb,rms_norm,4,2.3218
minimal_kb,rms_norm,4,2.3218
minimal_kb,rms_norm,5,2.3218
minimal_kb,rms_norm,5,2.3218
minimal_kb,rms_norm,6,2.3218
minimal_kb,rms_norm,6,2.3218
minimal_kb,rms_norm,7,2.3218
minimal_kb,rms_norm,7,2.3218
minimal_kb,rms_norm,8,2.3218
minimal_kb,rms_norm,8,2.3218
minimal_kb,rms_norm,9,2.3218
minimal_kb,rms_norm,9,2.3218
minimal_kb,rms_norm,10,2.3218
minimal_kb,rms_norm,10,2.3218
minimal_kb,rms_norm,11,2.3218
minimal_kb,rms_norm,11,2.3218
minimal_kb,rms_norm,12,2.3218
minimal_kb,rms_norm,12,2.3218
minimal_kb,rope,1,3.1483
minimal_kb,rope,1,3.1483
minimal_kb,rope,2,3.1483
minimal_kb,rope,2,3.1483
minimal_kb,rope,3,3.1483
minimal_kb,rope,3,3.1483
minimal_kb,rope,4,3.9394
minimal_kb,rope,4,3.9394
minimal_kb,rope,5,3.9394
minimal_kb,rope,5,4.2876
minimal_kb,rope,6,4.2876
minimal_kb,rope,6,4.2876
minimal_kb,rope,7,4.2876
minimal_kb,rope,7,4.2876
minimal_kb,rope,8,4.2876
minimal_kb,rope,8,4.2876
minimal_kb,rope,9,4.2876
minimal_kb,rope,9,4.2876
minimal_kb,rope,10,4.2876
minimal_kb,rope,10,4.2876
minimal_kb,rope,11,4.2876
minimal_kb,rope,11,4.2876
minimal_kb,rope,12,4.2876
minimal_kb,rope,12,4.2876
minimal_kb,softmax,1,1.0002
minimal_kb,softmax,2,1.0048
minimal_kb,softmax,3,1.0048
minimal_kb,softmax,4,1.0053
minimal_kb,softmax,5,1.0053
