arm,strategy,n,correct_rate,mean_delta,best_delta
agent_int4_gemm,bittrick_dequant,1,1.0,0.0038,0.0038
agent_int4_gemm,nomask_tune,1,1.0,0.0093,0.0093
agent_int4_gemm,packed_load_reg_unpack,1,1.0,-0.0108,-0.0108
agent_int4_gemm,redundant_bittrick,1,1.0,0.0822,0.0822
agent_int4_gemm,redundant_load_noreshape,1,1.0,0.0538,0.0538
agent_int4_gemm,redundant_tune,1,1.0,0.0885,0.0885
agent_int4_gemm,seed_tiled_dequant,2,0.0,,
agent_int4_gemm,tile_sweep,1,1.0,-0.0025,-0.0025
agent_int4_gemm,warps_mtile,1,1.0,0.0899,0.0899
pilot_full_pro,cache_eviction_hints,2,1.0,-0.129,-0.0675
pilot_full_pro,constexpr_specialize,2,0.5,-0.001,-0.001
pilot_full_pro,fast_math,2,1.0,0.0017,0.0035
pilot_full_pro,grid_loop_remap,2,0.5,-0.0298,-0.0298
pilot_full_pro,kernel_fusion,4,0.25,-0.1752,-0.1752
pilot_full_pro,multirow_per_program,8,0.5,-0.153,0.0049
pilot_full_pro,online_softmax,2,1.0,0.7734,1.0917
pilot_full_pro,tune_block_size,20,0.8,1.0365,10.8237
pilot_full_pro,tune_warps_stages,12,0.75,-0.0344,0.0148
pilot_full_pro,vectorized_access,12,0.6667,0.0118,0.0535
