arm,operator,round,candidates_so_far,best_speedup_so_far,n_correct_so_far,cum_gpu_seconds,cum_tokens
pilot_full_pro,gemm,0,4,0.000000,0,6.9,28992
pilot_full_pro,addmm,0,4,0.000000,0,6.5,29500
pilot_full_pro,int4_gemm,0,4,0.000000,0,7.1,46722
pilot_full_pro,swiglu,0,4,1.590097,4,16.5,29314
pilot_full_pro,geglu,0,4,1.677376,4,15.7,30134
pilot_full_pro,rms_norm,0,4,2.268617,3,17.3,41310
pilot_full_pro,welford,0,4,2.166667,1,14.0,50410
pilot_full_pro,fused_linear_cross_entropy,0,4,0.000000,0,7.5,88742
pilot_full_pro,cross_entropy,0,4,2.088249,2,20.9,48091
pilot_full_pro,kl_div,0,4,4.370985,2,17.7,41245
pilot_full_pro,addmm,1,8,0.000000,0,15.4,57345
pilot_full_pro,int4_gemm,1,8,0.000000,0,15.7,94228
pilot_full_pro,rope,0,4,4.367139,1,13.7,46232
pilot_full_pro,embedding,0,4,1.004845,2,18.1,34320
pilot_full_pro,gemm,1,8,0.936697,2,18.8,68796
pilot_full_pro,swiglu,1,12,1.672050,10,54.8,106408
pilot_full_pro,geglu,1,12,1.678167,10,47.1,96515
pilot_full_pro,welford,1,10,2.167969,4,35.8,97102
pilot_full_pro,addmm,2,12,0.000000,0,24.5,89043
pilot_full_pro,rms_norm,1,12,2.302193,9,57.7,109939
pilot_full_pro,cross_entropy,1,12,2.113752,9,65.6,119333
pilot_full_pro,int4_gemm,2,12,0.000000,0,27.5,147209
pilot_full_pro,fused_linear_cross_entropy,1,8,1.211720,2,25.0,159617
pilot_full_pro,kl_div,1,12,4.604918,9,53.3,117799
pilot_full_pro,rope,1,10,4.409107,4,39.2,105430
pilot_full_pro,gemm,2,12,0.936697,3,32.6,100708
pilot_full_pro,embedding,1,12,1.004845,8,54.9,101520
pilot_full_pro,welford,2,12,2.167969,5,43.2,117826
